Day,Month,Year,demand,RRP,min_temperature,max_temperature,solar_exposure,school_day
21,4,2017,114522.44,133.23,16.5,20.9,3.6,Y
22,4,2017,102528.4,111.67,16.9,22.5,11.8,Y
23,4,2017,97356.56,90.73,14.4,21.8,11.9,Y
24,4,2017,109421.82,113.26,15.9,24.7,9.9,Y
25,4,2017,101548.74,86.79,16.2,17.7,5.8,Y
26,4,2017,116795.24,100.7,10.1,14.5,6.4,Y
27,4,2017,126329.53,145.68,8.3,15.6,7.1,Y
28,4,2017,120144.19,120.81,9.4,19.8,6.0,Y
29,4,2017,104864.05,100.82,14.9,18.1,7.9,Y
30,4,2017,103756.53,109.58,13.6,17.8,7.3,Y
1,5,2017,115103.77,99.16,13.6,20.4,8.7,Y
2,5,2017,120718.64,109.92,10.4,15.2,9.4,Y
3,5,2017,129196.44,128.64,7.4,15.3,10.8,Y
4,5,2017,127260.05,123.47,5.8,16.9,12.0,Y
5,5,2017,123150.38,108.29,6.2,20.5,10.6,Y
6,5,2017,105013.07,81.78,9.6,20.0,6.1,Y
7,5,2017,107424.07,104.91,8.9,14.8,9.4,Y
8,5,2017,125858.27,132.97,10.1,15.8,7.2,Y
9,5,2017,126760.71,138.99,10.9,15.9,7.3,Y
10,5,2017,125747.73,149.62,8.1,17.7,11.3,Y
11,5,2017,128753.13,170.29,6.1,16.5,8.6,Y
12,5,2017,123523.0,129.31,5.9,19.5,9.9,Y
13,5,2017,109477.42,130.32,8.4,15.6,10.1,Y
14,5,2017,107497.03,126.92,6.4,15.1,7.7,Y
15,5,2017,125871.92,134.64,6.3,16.9,8.2,Y
16,5,2017,127820.72,128.31,5.6,18.2,9.0,Y
17,5,2017,125072.68,123.83,7.6,17.0,3.8,Y
18,5,2017,122910.48,107.84,10.7,20.2,9.8,Y
19,5,2017,123351.45,96.44,10.2,17.8,2.5,Y
20,5,2017,109111.62,88.14,10.2,19.3,9.8,Y
21,5,2017,105912.16,76.78,10.8,18.7,6.8,Y
22,5,2017,113551.04,72.93,10.4,20.3,10.1,Y
23,5,2017,119127.2,96.84,12.8,19.3,7.4,Y
24,5,2017,121571.97,103.24,11.7,17.1,8.0,Y
25,5,2017,124010.03,108.52,13.7,18.5,5.7,Y
26,5,2017,123130.6,94.7,13.1,18.0,8.2,Y
27,5,2017,104643.67,60.86,11.9,17.8,8.3,Y
28,5,2017,110029.55,72.34,10.2,15.3,7.6,Y
29,5,2017,130516.1,96.08,7.7,14.8,8.0,Y
30,5,2017,132762.38,95.71,9.3,13.1,6.9,Y
31,5,2017,139030.79,120.65,6.7,13.0,8.5,Y
1,6,2017,140202.73,113.31,7.9,13.9,4.7,Y
2,6,2017,136856.8,96.84,8.0,14.7,7.3,Y
3,6,2017,122161.4,107.25,9.9,14.3,8.3,Y
4,6,2017,118953.95,109.74,4.4,15.8,9.3,Y
5,6,2017,132877.45,101.13,5.6,17.5,5.0,Y
6,6,2017,133274.53,97.89,8.7,13.9,6.3,Y
7,6,2017,136116.12,105.7,5.9,14.3,9.2,Y
8,6,2017,139511.78,110.13,3.6,15.0,7.2,Y
9,6,2017,130994.54,99.98,6.6,15.0,7.8,Y
10,6,2017,120698.91,97.62,7.0,15.8,8.9,Y
11,6,2017,113374.46,87.88,3.4,15.5,8.6,Y
12,6,2017,117691.68,101.71,6.0,15.9,5.1,Y
13,6,2017,135184.95,109.95,8.8,15.1,6.6,Y
14,6,2017,136253.42,93.59,4.0,17.4,8.9,Y
15,6,2017,135303.26,102.84,7.7,19.0,7.4,Y
16,6,2017,135269.63,107.36,6.6,17.1,8.9,Y
17,6,2017,121178.68,104.29,4.2,15.5,9.2,Y
18,6,2017,116112.74,93.62,5.4,16.3,7.9,Y
19,6,2017,134925.74,95.97,7.1,16.1,6.0,Y
20,6,2017,131996.97,85.8,6.4,15.8,9.2,Y
21,6,2017,139814.3,106.97,7.8,13.5,5.0,Y
22,6,2017,140348.57,94.86,6.7,14.1,6.7,Y
23,6,2017,132029.57,80.27,7.4,14.9,8.2,Y
24,6,2017,122393.32,84.97,8.3,12.3,7.3,Y
25,6,2017,118103.86,72.87,8.6,14.3,5.3,Y
26,6,2017,138040.38,104.32,8.8,12.6,7.8,Y
27,6,2017,144526.63,100.2,6.0,12.1,4.4,Y
28,6,2017,141351.89,98.54,6.8,14.1,5.4,Y
29,6,2017,138124.06,102.53,9.2,13.7,5.0,Y
30,6,2017,139275.78,124.68,7.1,12.3,8.4,N
1,7,2017,125949.5,114.76,1.1,12.7,9.3,N
2,7,2017,120137.45,110.11,0.8,14.3,9.2,N
3,7,2017,139765.32,150.61,3.8,13.9,3.9,N
4,7,2017,134029.8,132.55,9.0,16.2,6.4,N
5,7,2017,134084.66,146.18,10.1,15.8,6.5,N
6,7,2017,137899.71,141.68,4.8,15.0,8.7,N
7,7,2017,134078.07,131.27,8.0,14.2,9.4,N
8,7,2017,123687.97,129.14,5.3,13.5,5.1,N
9,7,2017,116064.03,115.13,7.3,14.6,7.3,N
10,7,2017,133132.32,123.97,7.0,16.0,5.7,N
11,7,2017,137352.78,148.68,6.9,14.3,9.7,N
12,7,2017,138152.1,117.95,3.2,15.1,9.8,N
13,7,2017,134622.39,106.15,4.8,13.3,5.5,N
14,7,2017,131387.74,111.39,9.9,15.9,8.6,N
15,7,2017,124486.7,136.11,4.5,12.0,9.4,N
16,7,2017,119927.64,102.15,3.0,12.5,7.8,N
17,7,2017,131868.24,99.85,5.7,15.3,6.3,N
18,7,2017,136121.84,110.0,9.7,14.5,5.8,Y
19,7,2017,133906.26,109.56,8.9,13.2,7.7,Y
20,7,2017,139316.29,133.74,7.9,10.7,5.9,Y
21,7,2017,140073.89,130.19,3.3,13.8,10.3,Y
22,7,2017,122397.13,91.66,5.4,12.4,7.0,Y
23,7,2017,118007.67,107.89,8.4,14.1,5.4,Y
24,7,2017,136330.59,122.65,8.1,16.1,8.3,Y
25,7,2017,129699.27,113.03,9.8,17.2,9.0,Y
26,7,2017,133198.34,117.28,10.9,15.0,8.7,Y
27,7,2017,136003.92,117.32,4.4,14.2,8.7,Y
28,7,2017,130432.05,111.31,6.2,14.3,9.8,Y
29,7,2017,111331.24,93.45,9.7,17.9,10.1,Y
30,7,2017,107580.5,91.42,11.3,18.1,8.3,Y
31,7,2017,132276.88,137.48,6.7,14.8,11.5,Y
1,8,2017,137617.88,137.98,3.5,15.5,11.5,Y
2,8,2017,140729.18,113.49,3.4,12.9,7.5,Y
3,8,2017,151355.43,169.23,3.1,9.0,4.4,Y
4,8,2017,141647.89,110.35,4.3,12.1,7.2,Y
5,8,2017,116696.45,82.77,8.8,14.2,11.7,Y
6,8,2017,117351.14,86.2,9.0,13.0,8.2,Y
7,8,2017,138963.18,111.49,7.7,12.3,7.3,Y
8,8,2017,139108.43,111.55,7.9,15.0,7.5,Y
9,8,2017,130044.38,105.28,8.9,16.8,11.5,Y
10,8,2017,122361.93,86.92,11.4,18.8,8.4,Y
11,8,2017,122862.35,78.93,10.3,16.4,9.3,Y
12,8,2017,113669.45,77.12,10.3,17.9,9.9,Y
13,8,2017,106274.56,68.29,9.4,18.7,11.1,Y
14,8,2017,121533.96,101.4,12.3,20.1,12.6,Y
15,8,2017,127193.3,99.09,10.4,17.5,3.2,Y
16,8,2017,121445.38,72.16,12.1,18.1,10.9,Y
17,8,2017,129223.8,73.71,9.3,15.6,9.1,Y
18,8,2017,133562.98,92.11,8.0,12.2,9.4,Y
19,8,2017,124852.67,97.97,5.9,11.8,11.6,Y
20,8,2017,119798.99,92.82,5.1,13.3,13.9,Y
21,8,2017,140410.3,108.91,6.8,12.7,7.9,Y
22,8,2017,133809.46,107.94,5.7,16.8,11.1,Y
23,8,2017,133056.82,106.65,8.3,18.1,9.7,Y
24,8,2017,135619.94,118.92,5.2,13.3,13.0,Y
25,8,2017,133666.57,120.17,4.9,15.0,13.3,Y
26,8,2017,117444.1,93.66,9.9,15.3,8.5,Y
27,8,2017,115177.94,93.12,5.8,10.7,11.8,Y
28,8,2017,139414.5,163.41,5.8,11.8,14.6,Y
29,8,2017,139814.04,143.85,5.4,12.9,9.1,Y
30,8,2017,137513.46,118.3,7.7,13.8,12.3,Y
31,8,2017,133982.25,115.43,4.0,16.7,15.9,Y
1,9,2017,128707.42,102.28,3.7,17.0,14.4,Y
2,9,2017,114098.12,89.33,7.3,18.4,6.3,Y
3,9,2017,103964.33,67.07,13.4,17.2,6.3,Y
4,9,2017,128001.06,93.83,8.8,13.7,13.4,Y
5,9,2017,137696.67,95.6,6.5,13.3,11.0,Y
6,9,2017,134819.94,101.02,6.7,15.1,11.0,Y
7,9,2017,133405.72,93.03,7.9,15.2,9.5,Y
8,9,2017,132543.1,102.42,8.0,13.5,13.1,Y
9,9,2017,120454.01,96.91,7.1,14.9,15.9,Y
10,9,2017,114584.06,91.88,5.3,16.1,12.3,Y
11,9,2017,127169.03,86.69,8.1,18.1,7.0,Y
12,9,2017,130906.89,94.77,12.2,19.9,3.5,Y
13,9,2017,127192.32,88.36,13.3,16.4,8.2,Y
14,9,2017,131986.8,89.57,5.8,15.3,10.8,Y
15,9,2017,128761.6,89.24,9.6,16.7,7.0,Y
16,9,2017,111301.56,89.61,7.4,13.3,16.7,Y
17,9,2017,104766.0,75.51,4.0,18.1,19.0,Y
18,9,2017,115123.54,79.78,10.5,22.0,15.7,Y
19,9,2017,124033.96,92.37,9.0,13.9,16.6,Y
20,9,2017,123461.38,82.6,6.0,19.2,17.3,Y
21,9,2017,119309.93,74.96,11.6,23.6,13.0,Y
22,9,2017,116611.25,75.29,12.8,25.6,15.6,N
23,9,2017,101012.29,63.02,14.8,30.6,17.3,N
24,9,2017,92608.24,43.2,12.9,19.9,12.0,N
25,9,2017,119126.48,71.24,10.3,14.2,10.9,N
26,9,2017,124452.94,79.8,5.0,15.1,20.4,N
27,9,2017,119028.07,72.55,9.6,24.6,11.7,N
28,9,2017,116655.85,61.65,10.4,18.5,12.8,N
29,9,2017,102847.26,42.63,10.6,18.4,14.5,N
30,9,2017,100701.82,47.31,11.0,15.4,16.1,N
1,10,2017,103556.74,58.99,9.7,17.2,9.2,N
2,10,2017,119226.42,74.5,9.5,16.4,16.4,N
3,10,2017,118856.42,79.06,6.8,22.3,21.8,N
4,10,2017,114604.62,71.11,8.5,20.8,21.6,N
5,10,2017,113134.58,65.32,11.7,19.4,10.4,N
6,10,2017,118359.28,53.43,10.1,15.0,16.8,N
7,10,2017,101974.6,38.89,7.2,23.7,17.3,N
8,10,2017,97053.55,56.16,11.1,25.3,19.5,N
9,10,2017,111432.36,68.88,14.0,18.7,16.7,N
10,10,2017,116556.42,77.45,8.0,18.8,23.6,Y
11,10,2017,114133.54,55.55,9.8,25.6,7.5,Y
12,10,2017,113957.74,56.96,10.5,19.2,15.6,Y
13,10,2017,117048.72,83.76,13.1,16.7,12.5,Y
14,10,2017,102037.16,85.4,8.2,16.1,23.6,Y
15,10,2017,98108.82,71.6,6.8,17.6,24.5,Y
16,10,2017,115907.4,84.01,11.3,28.6,23.8,Y
17,10,2017,117470.22,76.52,12.8,30.2,24.9,Y
18,10,2017,121087.1,92.33,14.5,30.9,25.1,Y
19,10,2017,118201.18,80.38,21.7,25.6,9.8,Y
20,10,2017,108412.67,72.72,11.3,16.2,24.0,Y
21,10,2017,102195.98,73.11,11.0,15.4,12.8,Y
22,10,2017,100571.04,76.33,11.1,16.0,13.0,Y
23,10,2017,115549.43,90.68,11.9,19.0,21.8,Y
24,10,2017,118010.31,91.93,12.1,20.5,18.7,Y
25,10,2017,115813.03,98.04,13.3,18.5,12.5,Y
26,10,2017,117333.44,89.91,12.9,16.8,12.2,Y
27,10,2017,112633.26,78.66,10.3,27.4,26.1,Y
28,10,2017,100746.42,81.09,15.0,21.4,16.8,Y
29,10,2017,92182.96,61.46,11.5,28.6,27.1,Y
30,10,2017,112227.65,77.42,8.8,17.0,17.0,Y
31,10,2017,116179.47,86.96,8.1,16.4,24.8,Y
1,11,2017,116632.09,87.03,11.9,18.0,14.2,Y
2,11,2017,120470.79,87.51,11.3,17.4,17.0,Y
3,11,2017,113451.99,76.93,9.4,16.6,20.5,Y
4,11,2017,101610.81,78.73,8.3,15.8,24.6,Y
5,11,2017,95368.16,77.64,6.4,17.6,24.1,Y
6,11,2017,104632.79,80.93,10.9,16.1,18.9,Y
7,11,2017,100592.3,78.32,10.0,15.8,18.8,Y
8,11,2017,111738.48,91.0,12.1,16.9,25.4,Y
9,11,2017,113539.94,85.58,8.7,21.8,28.8,Y
10,11,2017,115156.44,92.62,12.1,27.2,23.7,Y
11,11,2017,104194.34,83.49,14.8,24.7,28.8,Y
12,11,2017,98774.23,73.95,13.2,23.3,25.0,Y
13,11,2017,125795.84,102.55,13.7,33.0,29.5,Y
14,11,2017,135420.82,94.73,18.2,33.9,29.5,Y
15,11,2017,130385.05,90.97,21.5,31.4,16.9,Y
16,11,2017,116715.96,88.82,18.1,21.3,4.8,Y
17,11,2017,117797.62,99.45,16.4,26.8,22.9,Y
18,11,2017,106730.21,89.77,16.1,28.1,20.1,Y
19,11,2017,101256.78,81.88,15.1,29.3,27.5,Y
20,11,2017,128658.27,131.3,16.6,30.8,28.6,Y
21,11,2017,137151.5,152.75,17.8,32.9,29.5,Y
22,11,2017,138882.25,116.88,18.7,32.6,30.6,Y
23,11,2017,135162.12,105.27,16.2,31.9,18.9,Y
24,11,2017,133951.29,116.56,18.6,30.7,13.8,Y
25,11,2017,121219.6,99.01,19.3,32.5,17.0,Y
27,11,2017,115429.0,84.61,16.5,21.2,20.5,Y
28,11,2017,129798.47,130.5,13.7,31.0,31.1,Y
29,11,2017,151730.95,166.55,18.5,35.8,28.3,Y
30,11,2017,154632.34,131.49,22.5,34.9,23.1,Y
1,12,2017,125141.9,87.15,21.5,23.5,1.6,Y
2,12,2017,99234.22,66.26,14.7,16.4,0.7,Y
3,12,2017,92487.7,67.76,11.5,17.1,14.4,Y
4,12,2017,111625.98,84.04,12.4,17.5,7.9,Y
5,12,2017,113063.68,82.84,10.8,22.8,22.9,Y
6,12,2017,115383.13,89.56,13.6,21.3,23.6,Y
7,12,2017,115736.97,102.59,11.6,21.9,19.8,Y
8,12,2017,109568.47,87.47,11.4,18.7,28.5,Y
9,12,2017,99334.8,82.98,12.7,23.0,19.2,Y
10,12,2017,97715.01,81.09,14.5,22.2,31.4,Y
11,12,2017,114680.18,97.61,16.4,20.7,26.3,Y
12,12,2017,121945.18,105.0,15.8,26.4,31.3,Y
13,12,2017,146933.1,94.5,15.8,37.6,32.0,Y
14,12,2017,129280.81,101.87,20.5,23.1,21.7,Y
15,12,2017,120821.05,105.44,14.1,26.4,32.1,Y
16,12,2017,110154.36,99.48,13.8,24.6,31.0,Y
17,12,2017,107212.84,82.05,15.7,24.5,30.5,Y
18,12,2017,138949.67,117.27,17.1,33.0,22.1,Y
19,12,2017,142870.4,106.5,19.7,37.4,12.1,Y
20,12,2017,114916.99,78.74,15.8,24.5,19.0,Y
21,12,2017,114462.53,85.78,12.3,23.7,31.9,Y
22,12,2017,116428.79,81.6,13.6,27.7,26.6,N
23,12,2017,109364.01,79.9,14.7,30.2,21.2,N
24,12,2017,92856.23,58.94,15.8,19.4,25.7,N
25,12,2017,85094.37,44.9,15.1,21.4,29.0,N
26,12,2017,98638.86,72.85,12.5,30.5,31.9,N
27,12,2017,128753.76,113.65,17.3,34.5,30.6,N
28,12,2017,130699.15,109.49,24.0,32.8,13.5,N
29,12,2017,115572.04,93.83,18.6,24.4,9.3,N
30,12,2017,96358.98,59.48,15.6,21.3,13.6,N
31,12,2017,95700.48,61.49,12.0,25.7,31.7,N
1,1,2018,95959.68,71.82,16.6,25.3,31.4,N
2,1,2018,105277.85,69.39,16.4,21.8,29.7,N
3,1,2018,106373.83,67.24,14.6,21.0,27.2,N
4,1,2018,113337.68,78.74,14.1,23.6,31.8,N
5,1,2018,123247.74,90.83,14.7,30.7,31.7,N
6,1,2018,133705.84,75.59,18.8,41.7,31.5,N
7,1,2018,107142.82,80.98,18.7,21.8,11.0,N
8,1,2018,118832.07,87.93,17.3,21.9,17.5,N
9,1,2018,111361.05,76.72,15.7,22.5,30.0,N
10,1,2018,116530.04,80.21,13.6,25.6,23.5,N
11,1,2018,139607.9,87.8,15.5,34.5,28.6,N
12,1,2018,132022.87,94.0,20.4,30.0,1.7,N
13,1,2018,98977.05,73.28,16.0,20.9,10.7,N
14,1,2018,92021.68,66.66,12.7,19.5,27.5,N
15,1,2018,109389.1,86.38,14.6,20.9,21.1,N
16,1,2018,116074.03,92.84,12.9,26.9,31.1,N
17,1,2018,129286.37,100.28,12.4,30.3,30.9,N
18,1,2018,154648.07,1210.14,16.6,40.0,30.8,N
19,1,2018,165070.6,647.57,22.5,40.3,30.6,N
20,1,2018,124825.02,94.1,20.3,24.6,20.2,N
21,1,2018,127305.2,121.71,21.0,28.2,14.9,N
22,1,2018,137955.43,115.13,20.5,23.9,27.3,N
23,1,2018,128314.47,102.37,18.0,23.6,28.3,N
24,1,2018,128899.77,103.43,14.8,23.3,27.5,N
25,1,2018,139245.21,155.5,17.1,26.6,28.1,N
26,1,2018,128599.46,91.43,19.4,28.4,19.9,N
27,1,2018,139114.59,104.88,21.2,33.2,27.5,N
28,1,2018,159436.69,290.42,22.7,38.1,28.5,N
29,1,2018,160437.57,107.66,27.8,33.5,7.3,N
30,1,2018,115239.57,78.57,15.6,21.0,14.1,N
31,1,2018,108524.18,65.22,14.6,19.1,19.6,Y
1,2,2018,109949.21,72.41,12.1,22.5,28.9,Y
2,2,2018,112946.34,80.45,13.4,22.1,28.4,Y
3,2,2018,104947.32,86.52,15.8,28.1,26.7,Y
4,2,2018,106065.93,98.92,14.7,25.7,28.5,Y
5,2,2018,126465.96,103.83,17.0,25.7,24.0,Y
6,2,2018,137539.72,104.23,17.7,29.9,27.6,Y
7,2,2018,159307.32,624.26,18.7,37.4,27.1,Y
8,2,2018,149473.01,106.65,20.6,27.5,15.8,Y
9,2,2018,137101.87,113.71,20.4,24.9,17.2,Y
10,2,2018,118113.8,83.52,18.7,30.3,6.6,Y
11,2,2018,100440.29,66.27,15.5,21.2,18.5,Y
12,2,2018,116209.13,93.17,16.3,23.6,22.2,Y
13,2,2018,124882.72,99.61,13.6,29.0,26.0,Y
14,2,2018,115269.5,72.05,17.5,23.3,22.8,Y
15,2,2018,117260.24,83.19,13.5,24.2,18.4,Y
16,2,2018,114736.36,86.84,15.7,22.2,24.8,Y
17,2,2018,105799.94,82.76,12.4,25.3,24.1,Y
18,2,2018,105085.51,77.34,13.6,24.0,20.5,Y
19,2,2018,113116.42,74.68,17.6,25.4,20.9,Y
20,2,2018,120035.39,78.8,14.1,29.5,25.5,Y
21,2,2018,124481.42,84.56,16.0,29.3,16.0,Y
22,2,2018,133607.06,88.85,20.3,31.0,16.8,Y
23,2,2018,136328.34,85.71,21.2,33.5,13.4,Y
24,2,2018,119226.43,75.07,22.7,31.6,4.8,Y
25,2,2018,96305.07,56.0,16.2,19.8,10.0,Y
26,2,2018,117952.36,76.81,14.3,26.5,24.3,Y
27,2,2018,127894.29,73.64,14.9,31.3,24.0,Y
28,2,2018,123400.17,69.09,20.0,30.9,19.6,Y
1,3,2018,117346.26,78.6,16.2,20.5,17.7,Y
2,3,2018,119960.33,91.87,14.5,22.8,19.6,Y
3,3,2018,111096.3,80.62,13.9,32.7,21.8,Y
4,3,2018,101334.2,72.6,15.8,21.0,22.2,Y
5,3,2018,112527.28,70.62,14.9,21.1,16.6,Y
6,3,2018,113850.81,61.35,12.5,27.6,22.6,Y
7,3,2018,122717.5,73.27,14.4,28.5,22.4,Y
8,3,2018,128732.59,94.57,14.9,30.5,22.1,Y
9,3,2018,127805.49,99.17,14.6,28.8,21.9,Y
10,3,2018,120398.88,91.99,14.3,35.1,21.6,Y
11,3,2018,104486.18,74.15,17.0,22.8,14.3,Y
12,3,2018,97542.31,63.45,16.7,20.9,10.2,Y
13,3,2018,112663.62,77.09,14.6,20.5,18.8,Y
14,3,2018,114195.35,97.28,12.8,21.3,17.7,Y
15,3,2018,116045.27,101.69,15.3,20.8,13.9,Y
16,3,2018,116284.34,92.59,12.5,24.4,15.0,Y
17,3,2018,110715.12,75.23,15.4,32.0,15.1,Y
18,3,2018,97262.71,62.87,22.6,23.1,13.4,Y
19,3,2018,111617.95,77.17,13.2,28.0,17.8,Y
20,3,2018,110794.26,72.76,15.4,19.2,9.5,Y
21,3,2018,111254.32,71.2,11.2,25.1,18.3,Y
22,3,2018,115020.5,77.28,12.3,28.1,19.0,Y
23,3,2018,119298.32,78.64,15.2,29.4,18.8,Y
24,3,2018,112312.69,71.97,20.2,24.2,5.4,Y
25,3,2018,98918.52,40.26,17.8,25.4,11.6,Y
26,3,2018,112488.22,70.83,10.7,18.5,11.9,Y
27,3,2018,116809.37,64.57,9.6,22.6,14.0,Y
28,3,2018,117744.0,72.11,11.3,30.3,17.8,Y
29,3,2018,116457.26,79.37,16.5,21.8,14.2,N
30,3,2018,97070.34,69.45,12.2,23.3,14.3,N
31,3,2018,99687.64,81.41,13.2,22.4,16.7,N
1,4,2018,98817.03,73.97,13.0,27.7,11.0,N
2,4,2018,98258.25,62.41,14.9,20.9,14.4,N
3,4,2018,113381.53,80.11,13.4,19.8,13.9,N
4,4,2018,115974.61,90.07,13.3,20.6,16.6,N
5,4,2018,117551.7,86.89,13.3,18.7,9.0,N
6,4,2018,115979.07,85.69,13.8,21.2,14.8,N
7,4,2018,105938.48,84.9,9.8,21.6,16.0,N
8,4,2018,100571.16,58.24,11.8,29.9,14.7,N
9,4,2018,118702.93,91.69,15.9,25.7,13.6,N
10,4,2018,122423.01,76.33,14.8,28.8,5.9,N
11,4,2018,121944.99,75.04,18.1,27.3,10.9,N
12,4,2018,119876.63,77.71,15.9,26.5,7.4,N
13,4,2018,113609.76,69.76,11.9,25.9,14.4,N
14,4,2018,105135.3,37.74,13.5,16.1,3.1,N
15,4,2018,104123.39,31.68,9.7,19.1,4.9,N
16,4,2018,115694.64,69.36,13.1,21.0,7.1,N
17,4,2018,121092.85,86.53,13.2,16.6,8.9,Y
18,4,2018,120784.88,82.88,6.2,19.4,14.2,Y
19,4,2018,120448.94,93.53,11.0,22.3,13.0,Y
20,4,2018,118324.09,95.73,8.9,20.2,13.7,Y
21,4,2018,107479.26,74.44,11.9,22.8,11.3,Y
22,4,2018,103662.05,76.32,11.2,20.4,12.6,Y
23,4,2018,117799.97,72.74,11.9,26.9,13.0,Y
24,4,2018,117642.64,88.09,13.7,24.6,5.2,Y
25,4,2018,106654.96,77.46,15.7,20.1,7.7,Y
26,4,2018,117617.51,82.43,11.9,17.5,7.9,Y
27,4,2018,119079.46,78.21,11.6,17.8,8.8,Y
28,4,2018,108613.38,70.0,7.7,18.3,11.7,Y
29,4,2018,105277.72,64.16,10.5,18.0,9.6,Y
30,4,2018,121551.68,77.97,8.8,19.6,12.3,Y
1,5,2018,122642.23,73.97,7.2,23.4,12.3,Y
2,5,2018,118716.6,67.27,10.2,23.2,7.2,Y
3,5,2018,117357.84,52.77,14.5,24.4,4.4,Y
4,5,2018,116870.46,54.64,11.5,17.2,7.8,Y
5,5,2018,106893.0,58.57,12.1,21.6,6.5,Y
6,5,2018,105840.39,61.9,9.9,21.7,11.0,Y
7,5,2018,118254.55,49.42,12.0,19.5,6.2,Y
8,5,2018,122876.86,101.29,13.4,17.9,10.6,Y
9,5,2018,122721.46,127.59,8.0,18.4,7.5,Y
10,5,2018,128518.5,62.88,9.0,12.8,8.5,Y
11,5,2018,133467.37,63.67,7.4,15.1,3.7,Y
12,5,2018,111273.75,62.66,11.0,16.9,9.0,Y
13,5,2018,108729.71,65.51,13.0,16.2,10.8,Y
14,5,2018,129885.96,111.67,6.8,15.9,8.2,Y
15,5,2018,131900.52,97.88,8.9,14.6,4.6,Y
16,5,2018,133399.23,124.09,9.4,14.3,7.6,Y
17,5,2018,131757.16,108.95,11.7,15.0,6.9,Y
18,5,2018,127353.57,96.16,12.3,17.7,8.0,Y
19,5,2018,119262.14,93.62,10.6,15.5,6.5,Y
20,5,2018,112349.26,78.28,11.8,16.2,1.7,Y
21,5,2018,124046.8,82.72,12.6,16.7,5.0,Y
22,5,2018,126923.0,91.62,13.0,17.0,3.6,Y
23,5,2018,129352.83,118.69,11.8,15.3,6.5,Y
24,5,2018,129553.94,99.49,12.9,16.1,5.1,Y
25,5,2018,127957.57,92.99,9.4,14.9,9.5,Y
26,5,2018,115384.08,74.75,5.2,20.5,9.9,Y
27,5,2018,106044.51,54.19,7.3,20.7,8.0,Y
28,5,2018,119360.27,70.17,12.9,20.5,6.0,Y
29,5,2018,123142.76,81.98,13.7,17.9,8.1,Y
30,5,2018,127830.62,82.54,7.7,15.1,7.9,Y
31,5,2018,131159.95,90.36,9.6,14.8,7.6,Y
1,6,2018,135864.06,101.41,4.1,13.3,9.6,Y
2,6,2018,123226.08,99.85,3.5,13.6,9.6,Y
3,6,2018,121177.58,91.04,4.3,13.8,8.5,Y
4,6,2018,135385.41,120.25,4.5,14.4,9.3,Y
5,6,2018,132975.13,105.8,7.5,15.0,8.8,Y
6,6,2018,132038.42,106.23,5.6,19.1,9.4,Y
7,6,2018,128577.63,87.71,7.7,17.8,5.7,Y
8,6,2018,129910.02,130.08,12.4,13.6,3.3,Y
9,6,2018,120232.2,110.67,11.3,15.6,8.0,Y
10,6,2018,117037.87,75.52,4.1,15.3,9.3,Y
11,6,2018,113420.99,56.4,5.3,17.6,8.9,Y
12,6,2018,127261.29,78.29,7.9,16.6,6.7,Y
13,6,2018,131574.61,84.58,9.5,14.1,7.1,Y
14,6,2018,130544.49,72.49,8.6,14.5,7.8,Y
15,6,2018,133009.01,74.91,9.6,14.0,4.4,Y
